ExhibitionID,ExhibitionTitle,ExhibitionBeginDate,ExhibitionURL,DisplayName,Nationality,Gender
2557.0,"Cézanne, Gauguin, Seurat, Van Gogh",11/7/1929,http://www.moma.org/calendar/exhibitions/1767,"Alfred H. Barr, Jr.",American,Male
2724.0,Paintings by 19 Living Americans,12/12/1929,http://www.moma.org/calendar/exhibitions/1912,Charles Burchfield,American,Male
2942.0,Painting in Paris,1/19/1930,http://www.moma.org/calendar/exhibitions/2024,Pierre Bonnard,French,Male
2636.0,"Weber, Klee, Lehmbruck, Maillol",3/12/1930,http://www.moma.org/calendar/exhibitions/1766,Paul Klee,German,Male
2853.0,Charles Burchfield: Early Watercolors 1916–1918,4/11/1930,http://www.moma.org/calendar/exhibitions/1978,Charles Burchfield,American,Male
2945.0,"Homer, Ryder, and Eakins",5/6/1930,http://www.moma.org/calendar/exhibitions/2026,Thomas Eakins,American,Male
2725.0,Summer Exhibition: Painting and Sculpture,6/15/1930,http://www.moma.org/calendar/exhibitions/1913,Rudolf Belling,German,Male
2946.0,"Corot, Daumier",10/15/1930,http://www.moma.org/calendar/exhibitions/2027,Jean-Baptiste-Camille Corot,French,Male
2729.0,Painting and Sculpture by Living Americans,12/3/1930,http://www.moma.org/calendar/exhibitions/1916,"Alfred H. Barr, Jr.",American,Male
2855.0,"Toulouse-Lautrec, Redon",1/31/1931,http://www.moma.org/calendar/exhibitions/1980,Odilon Redon,French,Male
2671.0,German Painting and Sculpture,3/12/1931,http://www.moma.org/calendar/exhibitions/1889,"Alfred H. Barr, Jr.",American,Male
2606.0,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,5/17/1931,http://www.moma.org/calendar/exhibitions/1707,Paul Cézanne,French,Male
2694.0,Henri Matisse,11/3/1931,http://www.moma.org/calendar/exhibitions/1903,"Alfred H. Barr, Jr.",American,Male
2854.0,Diego Rivera,12/22/1931,http://www.moma.org/calendar/exhibitions/1979,Diego Rivera,Mexican,Male
2981.0,Modern Architecture: International Exhibition,2/9/1932,http://www.moma.org/calendar/exhibitions/2044,Philip Johnson,American,Male
2982.0,Murals by American Painters and Photographers,5/3/1932,http://www.moma.org/calendar/exhibitions/2045,Berenice Abbott,American,Female
2607.0,Summer Exhibition: Painting and Sculpture,6/7/1932,http://www.moma.org/calendar/exhibitions/1708,Max Beckmann,German,Male
2983.0,A Brief Survey of Modern Painting,7/20/1932,http://www.moma.org/calendar/exhibitions/2046,Pierre Bonnard,French,Male
2988.0,Early Modern Architecture: Chicago 1870–1910,1/18/1933,http://www.moma.org/calendar/exhibitions/2050,Philip Johnson,American,Male
2989.0,Maurice Sterne: Retrospective Exhibition,2/13/1933,http://www.moma.org/calendar/exhibitions/2051,Maurice Sterne,American,Male
2990.0,Color Reproductions of Mexican Frescoes by Diego Rivera,2/20/1933,http://www.moma.org/calendar/exhibitions/2931,Philip Johnson,American,Male
2991.0,Toulouse-Lautrec Prints and Posters,2/25/1933,http://www.moma.org/calendar/exhibitions/2052,Henri de Toulouse-Lautrec,French,Male
2992.0,Fruit and Flower Paintings,5/13/1933,http://www.moma.org/calendar/exhibitions/2053,Philip Johnson,American,Male
2994.0,Sculptors' Drawings,3/27/1933,http://www.moma.org/calendar/exhibitions/2055,Constantin Brancusi,French,Male
153.0,Objects: 1900 and Today,4/10/1933,http://www.moma.org/calendar/exhibitions/1789,Philip Johnson,American,Male
2996.0,The Work of Young Architects in the Middle West,4/3/1933,http://www.moma.org/calendar/exhibitions/2076,Philip Johnson,American,Male
2608.0,Summer Exhibition: Painting and Sculpture,7/10/1933,http://www.moma.org/calendar/exhibitions/1709,Rudolph Bauer,American,Male
2999.0,Summer Exhibition: Gauguin Woodcuts and Watercolors,7/10/1933,http://www.moma.org/calendar/exhibitions/2058,Paul Gauguin,French,Male
2614.0,Modern European Art,10/3/1933,http://www.moma.org/calendar/exhibitions/1875,"Alfred H. Barr, Jr.",American,Male
3001.0,Wilhelm Lehmbruck: Standing Youth,11/16/1933,http://www.moma.org/calendar/exhibitions/2060,Wilhelm Lehmbruck,German,Male
3002.0,Walker Evans: Photographs of Nineteenth-Century Houses,11/16/1933,http://www.moma.org/calendar/exhibitions/2061,Walker Evans,American,Male
3003.0,Gifts and Loans from the Collection of Mrs. Sadie A. May,11/16/1933,http://www.moma.org/calendar/exhibitions/2062,Pierre Bonnard,French,Male
2726.0,Edward Hopper: Retrospective Exhibition,10/30/1933,http://www.moma.org/calendar/exhibitions/1914,"Alfred H. Barr, Jr.",American,Male
3005.0,Philadelphia Savings Fund Society Building by Howe and Lescaze,1/2/1934,http://www.moma.org/calendar/exhibitions/2064,George Howe,American,Male
94.0,Machine Art,3/5/1934,http://www.moma.org/calendar/exhibitions/1784,Philip Johnson,American,Male
2887.0,"The Lillie P. Bliss Collection, 1934",5/14/1934,http://www.moma.org/calendar/exhibitions/1995,Paul Cézanne,French,Male
3008.0,Whistler: Portrait of the Artist's Mother,5/15/1934,http://www.moma.org/calendar/exhibitions/2067,James McNeill Whistler,American,Male
3009.0,Modern Housing Exhibition,6/1/1934,http://www.moma.org/calendar/exhibitions/2068,Philip Johnson,American,Male
2609.0,New Acquisitions: Lachaise Torso; Prints,7/11/1934,http://www.moma.org/calendar/exhibitions/1874,Peggy Bacon,American,Female
3011.0,The War: Etchings by Otto Dix,7/30/1934,http://www.moma.org/calendar/exhibitions/2069,Otto Dix,German,Male
2971.0,"New Acquisition: Brancusi, Bird in Space",8/13/1934,http://www.moma.org/calendar/exhibitions/2038,Constantin Brancusi,French,Male
3013.0,Color Reproductions: Modern Watercolors and Pastels,8/13/1934,http://www.moma.org/calendar/exhibitions/2070,Pierre Bonnard,French,Male
3014.0,National Exhibition of Art by the Public Works of Art Project,9/19/1934,http://www.moma.org/calendar/exhibitions/2935,A. S. Baylinson,American,Male
2615.0,Modern Works of Art: 5th Anniversary Exhibition,11/19/1934,http://www.moma.org/calendar/exhibitions/1711,Aleksandr Archipenko,American,Male
2883.0,Gaston Lachaise: Retrospective Exhibition,1/28/1935,http://www.moma.org/calendar/exhibitions/1994,Lincoln Kirstein,American,Male
3017.0,"George Caleb Bingham, the Missouri Artist, 1811–1879",1/28/1935,http://www.moma.org/calendar/exhibitions/2936,George Caleb Bingham,American,Male
3018.0,African Negro Art,3/18/1935,http://www.moma.org/calendar/exhibitions/2937,James Johnson Sweeney,American,Male
2610.0,Summer Exhibition: The Museum Collection and a Private Collection on Loan,6/4/1935,http://www.moma.org/calendar/exhibitions/1710,Max Beckmann,German,Male
2681.0,Fernand Léger: Paintings and Drawings,9/30/1935,http://www.moma.org/calendar/exhibitions/1896,George Morris,British,Male
3020.0,"Ignatz Wiemeler, Modern Bookbinder",9/30/1935,http://www.moma.org/calendar/exhibitions/2938,Monroe Wheeler,American,Male
2888.0,Vincent van Gogh,11/4/1935,http://www.moma.org/calendar/exhibitions/1996,"Alfred H. Barr, Jr.",American,Male
2730.0,"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.",1/14/1936,http://www.moma.org/calendar/exhibitions/1917,Gifford Beal,American,Male
246.0,Cubism and Abstract Art,3/2/1936,http://www.moma.org/calendar/exhibitions/2748,"Alfred H. Barr, Jr.",American,Male
3025.0,Modern Painters and Sculptors as Illustrators,4/27/1936,http://www.moma.org/calendar/exhibitions/2939,Monroe Wheeler,American,Male
3028.0,Edward Steichen's Delphiniums,6/24/1936,http://www.moma.org/calendar/exhibitions/2940,Edward Steichen,American,Male
3029.0,Summer Exhibition: The Museum Collection and a Private Collection on Loan,7/20/1936,http://www.moma.org/calendar/exhibitions/2941,Georges Braque,French,Male
3030.0,New Horizons in American Art,9/14/1936,http://www.moma.org/calendar/exhibitions/2942,Dorothy C. Miller,American,Female
3031.0,American Art Portfolio,9/14/1936,http://www.moma.org/calendar/exhibitions/2943,George Caleb Bingham,American,Male
3032.0,"John Marin: Watercolors, Oil Paintings, Etchings",10/19/1936,http://www.moma.org/calendar/exhibitions/2944,Alfred Stieglitz,American,Male
2649.0,"Fantastic Art, Dada, Surrealism",12/7/1936,http://www.moma.org/calendar/exhibitions/2823,"Alfred H. Barr, Jr.",American,Male
2611.0,Vincent van Gogh,1/20/1937,http://www.moma.org/calendar/exhibitions/2802,Vincent van Gogh,Dutch,Male
3035.0,New Acquisitions: Gifts of the Advisory Committee,2/10/1937,http://www.moma.org/calendar/exhibitions/2946,Jean (Hans) Arp,French,Male
3036.0,Photography 1839–1937,3/17/1937,http://www.moma.org/calendar/exhibitions/2088,Beaumont Newhall,American,Male
3037.0,Prehistoric Rock Pictures in Europe and Africa,4/28/1937,http://www.moma.org/calendar/exhibitions/2947,"Alfred H. Barr, Jr.",American,Male
3038.0,Paintings by Paul Cézanne from the Museum,4/28/1937,http://www.moma.org/calendar/exhibitions/2948,Paul Cézanne,French,Male
3039.0,Color Reproductions of Paintings by Cézanne,4/28/1937,http://www.moma.org/calendar/exhibitions/2949,Paul Cézanne,French,Male
3040.0,Twelve Modern Paintings,4/28/1937,http://www.moma.org/calendar/exhibitions/2950,Jean (Hans) Arp,French,Male
3041.0,Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan,6/23/1937,http://www.moma.org/calendar/exhibitions/2951,Aleksandr Archipenko,American,Male
3044.0,Art Through the Window,7/1/1937,http://www.moma.org/calendar/exhibitions/2954,Rudolf Belling,German,Male
2962.0,"The War, Etchings by Otto Dix and Armored Train, a Painting by Gino Severini",9/21/1937,http://www.moma.org/calendar/exhibitions/2926,Otto Dix,German,Male
3045.0,"New Acquisitions: Dalí, Henry Moore, Chaim Gross",10/8/1937,http://www.moma.org/calendar/exhibitions/2955,Salvador Dalí,Spanish,Male
3048.0,Paintings for Paris,11/8/1937,http://www.moma.org/calendar/exhibitions/2957,Thomas Hart Benton,American,Male
306.0,Spanish and U.S. Government Posters,11/15/1937,http://www.moma.org/calendar/exhibitions/2759,Mauricio Amster,Spanish,Male
3049.0,Transitions and Contrasts in Painting and Sculpture,12/1/1937,http://www.moma.org/calendar/exhibitions/2958,Aleksandr Archipenko,American,Male
3050.0,The Making of a Contemporary Film,12/21/1937,http://www.moma.org/calendar/exhibitions/2959,Iris Barry,American,Female
3053.0,A New House by Frank Lloyd Wright,1/25/1938,http://www.moma.org/calendar/exhibitions/2962,Frank Lloyd Wright,American,Male
271.0,Alvar Aalto: Architecture and Furniture,3/15/1938,http://www.moma.org/calendar/exhibitions/1802,Alvar Aalto,Finnish,Male
10601.0,Three Centuries of American Art,5/24/1938,http://www.moma.org/calendar/exhibitions/3597,Iris Barry,American,Female
3061.0,Walker Evans: American Photographs,9/28/1938,http://www.moma.org/calendar/exhibitions/2968,Walker Evans,American,Male
3062.0,The Prints of George Rouault,9/28/1938,http://www.moma.org/calendar/exhibitions/2969,Monroe Wheeler,American,Male
3064.0,New Acquisitions,10/25/1938,http://www.moma.org/calendar/exhibitions/2971,Ernest Blumenschein,American,Male
157.0,Bauhaus: 1919–1928,12/7/1938,http://www.moma.org/calendar/exhibitions/2735,Herbert Bayer,American,Male
3066.0,Williamsburg Competition,2/28/1939,http://www.moma.org/calendar/exhibitions/2972,Lawrence B. Anderson,American,Male
207.0,"Painting, Sculpture, Prints",5/10/1939,http://www.moma.org/calendar/exhibitions/2743,Jean (Hans) Arp,French,Male
3067.0,Seven American Photographers,5/10/1939,http://www.moma.org/calendar/exhibitions/2973,Berenice Abbott,American,Female
3068.0,Georges Méliès: A Film Pioneer,5/10/1939,http://www.moma.org/calendar/exhibitions/2974,Iris Barry,American,Female
2731.0,Charles Sheeler,10/2/1939,http://www.moma.org/calendar/exhibitions/2855,Dorothy C. Miller,American,Female
3069.0,Contemporary Unknown American Painters,10/18/1939,http://www.moma.org/calendar/exhibitions/2091,Sidney Janis,American,Male
2706.0,Picasso: Forty Years of His Art,11/15/1939,http://www.moma.org/calendar/exhibitions/2843,"Alfred H. Barr, Jr.",American,Male
2751.0,Paintings and Sculpture from the Museum Collection,1/12/1940,http://www.moma.org/calendar/exhibitions/2866,Jean (Hans) Arp,French,Male
2885.0,Twelve Favorites: Paintings Selected by Students from the Museum Collection,1/31/1940,http://www.moma.org/calendar/exhibitions/2911,Paul Cézanne,French,Male
2592.0,Modern Masters from European and American Collections,1/26/1940,http://www.moma.org/calendar/exhibitions/2796,Dorothy C. Miller,American,Female
3074.0,Four American Traveling Exhibitions,4/3/1940,http://www.moma.org/calendar/exhibitions/2979,Dorothy C. Miller,American,Female
2917.0,New Acquisitions: A Gift of Modern Sculpture,3/6/1940,http://www.moma.org/calendar/exhibitions/2918,Émile-Antoine Bourdelle,French,Male
3078.0,American Designs for Abstract Film,4/3/1940,http://www.moma.org/calendar/exhibitions/2983,Iris Barry,American,Female
3080.0,Twenty Centuries of Mexican Art,5/15/1940,http://www.moma.org/calendar/exhibitions/2985,Miguel Covarrubias,Mexican,Male
3081.0,New Acquisitions: American Painting and Sculpture,7/26/1940,http://www.moma.org/calendar/exhibitions/2986,Raymond Breinin,American,Male
3082.0,Portinari of Brazil,10/9/1940,http://www.moma.org/calendar/exhibitions/2987,Cândido Portinari,Brazilian,Male
2629.0,Painting and Sculpture from the Museum Collection,10/23/1940,http://www.moma.org/calendar/exhibitions/2813,Jean (Hans) Arp,French,Male
3087.0,"Frank Lloyd Wright, American Architect",11/13/1940,http://www.moma.org/calendar/exhibitions/2992,Frank Lloyd Wright,American,Male
3088.0,"D.W. Griffith, American Film Master",11/13/1940,http://www.moma.org/calendar/exhibitions/2993,Iris Barry,American,Female
2668.0,We Like Modern Art,12/27/1940,http://www.moma.org/calendar/exhibitions/2830,Aleksandr Archipenko,American,Male
3092.0,Sixty Photographs: A Survey of Camera Esthetics,12/31/1940,http://www.moma.org/calendar/exhibitions/2089,Ansel Adams,American,Male
3093.0,Pavlova Memorial Exhibition,1/7/1941,http://www.moma.org/calendar/exhibitions/2997,Arnold Genthe,American,Male
3094.0,Indian Art of the United States,1/22/1941,http://www.moma.org/calendar/exhibitions/2998,René d'Harnoncourt,American,Male
3096.0,New Acquisitions: American Painting and Sculpture,3/10/1941,http://www.moma.org/calendar/exhibitions/3000,Darrel Austin,American,Male
2727.0,New Acquisitions: A Gift of Paintings from a Trustee,5/6/1941,http://www.moma.org/calendar/exhibitions/1915,Pierre Bonnard,French,Male
2752.0,Painting and Sculpture from the Museum Collection,5/6/1941,http://www.moma.org/calendar/exhibitions/2867,Jean (Hans) Arp,French,Male
2886.0,Understanding Modern Art,5/6/1941,http://www.moma.org/calendar/exhibitions/2912,Jean (Hans) Arp,French,Male
3098.0,Still Photographs from Hollywood Studios,5/6/1941,http://www.moma.org/calendar/exhibitions/3001,Iris Barry,American,Female
3099.0,Britain at War,5/23/1941,http://www.moma.org/calendar/exhibitions/3002,Monroe Wheeler,American,Male
