ExhibitionTitle,ExhibitionBeginDate,ExhibitionURL,DisplayName,Nationality,Gender
"Cézanne, Gauguin, Seurat, Van Gogh",11/7/1929,http://www.moma.org/calendar/exhibitions/1767,"Alfred H. Barr, Jr.",American,Male
Paintings by 19 Living Americans,12/12/1929,http://www.moma.org/calendar/exhibitions/1912,Charles Burchfield,American,Male
Painting in Paris,1/19/1930,http://www.moma.org/calendar/exhibitions/2024,Pierre Bonnard,French,Male
"Weber, Klee, Lehmbruck, Maillol",3/12/1930,http://www.moma.org/calendar/exhibitions/1766,Paul Klee,German,Male
Charles Burchfield: Early Watercolors 1916–1918,4/11/1930,http://www.moma.org/calendar/exhibitions/1978,Charles Burchfield,American,Male
"Homer, Ryder, and Eakins",5/6/1930,http://www.moma.org/calendar/exhibitions/2026,Thomas Eakins,American,Male
Summer Exhibition: Painting and Sculpture,6/15/1930,http://www.moma.org/calendar/exhibitions/1913,Rudolf Belling,German,Male
"Corot, Daumier",10/15/1930,http://www.moma.org/calendar/exhibitions/2027,Jean-Baptiste-Camille Corot,French,Male
Painting and Sculpture by Living Americans,12/3/1930,http://www.moma.org/calendar/exhibitions/1916,"Alfred H. Barr, Jr.",American,Male
"Toulouse-Lautrec, Redon",1/31/1931,http://www.moma.org/calendar/exhibitions/1980,Odilon Redon,French,Male
German Painting and Sculpture,3/12/1931,http://www.moma.org/calendar/exhibitions/1889,"Alfred H. Barr, Jr.",American,Male
Memorial Exhibition: The Collection of the Late Lillie P. Bliss,5/17/1931,http://www.moma.org/calendar/exhibitions/1707,Paul Cézanne,French,Male
Henri Matisse,11/3/1931,http://www.moma.org/calendar/exhibitions/1903,"Alfred H. Barr, Jr.",American,Male
Diego Rivera,12/22/1931,http://www.moma.org/calendar/exhibitions/1979,Diego Rivera,Mexican,Male
Modern Architecture: International Exhibition,2/9/1932,http://www.moma.org/calendar/exhibitions/2044,Philip Johnson,American,Male
Murals by American Painters and Photographers,5/3/1932,http://www.moma.org/calendar/exhibitions/2045,Berenice Abbott,American,Female
A Brief Survey of Modern Painting,7/20/1932,http://www.moma.org/calendar/exhibitions/2046,Pierre Bonnard,French,Male
Early Modern Architecture: Chicago 1870–1910,1/18/1933,http://www.moma.org/calendar/exhibitions/2050,Philip Johnson,American,Male
