"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",20.9393685421384,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2017",18.3583398733671,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2017",6.61749453885892,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.3247290881858,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2017",8.59000448212496,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2017",12.9750910189041,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2017",8.34365885153042,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.8232856465457,
"DZA","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.89355002155844,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2017",41.2442750034823,
"BGD","MEATCONSUMP","BEEF","KG_CAP","A","2017",0.866786885597556,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2017",26.4675427489065,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2017",18.1045851178486,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2017",4.06703788933825,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2017",11.6929154451807,
"EGY","MEATCONSUMP","BEEF","KG_CAP","A","2017",9.32074354197894,
"ETH","MEATCONSUMP","BEEF","KG_CAP","A","2017",2.44393876107765,
"GHA","MEATCONSUMP","BEEF","KG_CAP","A","2017",0.845007180128567,
"HTI","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.42916838728858,
"IND","MEATCONSUMP","BEEF","KG_CAP","A","2017",0.526304081476583,
"IDN","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.8693828637677,
"IRN","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.34920480008271,
"ISR","MEATCONSUMP","BEEF","KG_CAP","A","2017",20.0091633663374,
"KAZ","MEATCONSUMP","BEEF","KG_CAP","A","2017",17.2224647396527,
"MYS","MEATCONSUMP","BEEF","KG_CAP","A","2017",5.44576728012514,
"MOZ","MEATCONSUMP","BEEF","KG_CAP","A","2017",0.830741577272773,
"NGA","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.64093632731273,
"PAK","MEATCONSUMP","BEEF","KG_CAP","A","2017",6.33943770557246,
"PRY","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.5217587544749,
"PER","MEATCONSUMP","BEEF","KG_CAP","A","2017",4.77938552935642,
"PHL","MEATCONSUMP","BEEF","KG_CAP","A","2017",2.94615947473093,
"RUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.0631807814134,
"SAU","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.86721613872341,
"ZAF","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.9776222250427,
"SDN","MEATCONSUMP","BEEF","KG_CAP","A","2017",0.006511600498,
"TZA","MEATCONSUMP","BEEF","KG_CAP","A","2017",4.05014822870531,
"THA","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.78047988560875,
"UKR","MEATCONSUMP","BEEF","KG_CAP","A","2017",5.80442882003799,
"URY","MEATCONSUMP","BEEF","KG_CAP","A","2017",43.191194110134,
"VNM","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.0873532579416,
"ZMB","MEATCONSUMP","BEEF","KG_CAP","A","2017",9.04323805057781,
"WLD","MEATCONSUMP","BEEF","KG_CAP","A","2017",6.50994208724016,
"SSA","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.02759086750165,
"OECD","MEATCONSUMP","BEEF","KG_CAP","A","2017",14.5374852528611,
"BRICS","MEATCONSUMP","BEEF","KG_CAP","A","2017",4.45587809082503,
"EU28","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.9857613784757,
