"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALDOC","TOT","1000HAB","A","2013",3.37,
"AUS","MEDICALDOC","TOT","1000HAB","A","2014",3.44,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2015",3.5,"E"
"AUS","MEDICALDOC","TOT","1000HAB","A","2016",3.57,"E"
"AUT","MEDICALDOC","TOT","1000HAB","A","2013",4.99,
"AUT","MEDICALDOC","TOT","1000HAB","A","2014",5.05,
"AUT","MEDICALDOC","TOT","1000HAB","A","2015",5.09,
"AUT","MEDICALDOC","TOT","1000HAB","A","2016",5.13,
"BEL","MEDICALDOC","TOT","1000HAB","A","2013",2.96,
"BEL","MEDICALDOC","TOT","1000HAB","A","2014",2.98,
"BEL","MEDICALDOC","TOT","1000HAB","A","2015",3.02,
"BEL","MEDICALDOC","TOT","1000HAB","A","2016",3.07,
"CAN","MEDICALDOC","TOT","1000HAB","A","2013",2.57,
"CAN","MEDICALDOC","TOT","1000HAB","A","2014",2.61,
"CAN","MEDICALDOC","TOT","1000HAB","A","2015",2.66,
"CAN","MEDICALDOC","TOT","1000HAB","A","2016",2.68,
"CAN","MEDICALDOC","TOT","1000HAB","A","2017",2.72,"P"
"CZE","MEDICALDOC","TOT","1000HAB","A","2013",3.69,
"DNK","MEDICALDOC","TOT","1000HAB","A","2013",3.65,
"DNK","MEDICALDOC","TOT","1000HAB","A","2014",3.66,
"DNK","MEDICALDOC","TOT","1000HAB","A","2015",3.68,
"FIN","MEDICALDOC","TOT","1000HAB","A","2013",3.15,"E"
"FIN","MEDICALDOC","TOT","1000HAB","A","2014",3.21,"E"
"FRA","MEDICALDOC","TOT","1000HAB","A","2013",3.33,
"FRA","MEDICALDOC","TOT","1000HAB","A","2014",3.34,
"FRA","MEDICALDOC","TOT","1000HAB","A","2015",3.34,
"FRA","MEDICALDOC","TOT","1000HAB","A","2016",3.35,
"FRA","MEDICALDOC","TOT","1000HAB","A","2017",3.36,
"DEU","MEDICALDOC","TOT","1000HAB","A","2013",4.04,
"DEU","MEDICALDOC","TOT","1000HAB","A","2014",4.11,
"DEU","MEDICALDOC","TOT","1000HAB","A","2015",4.14,
"DEU","MEDICALDOC","TOT","1000HAB","A","2016",4.19,
"HUN","MEDICALDOC","TOT","1000HAB","A","2013",3.21,
"HUN","MEDICALDOC","TOT","1000HAB","A","2014",3.32,
"HUN","MEDICALDOC","TOT","1000HAB","A","2015",3.1,"B"
"HUN","MEDICALDOC","TOT","1000HAB","A","2016",3.21,
"ISL","MEDICALDOC","TOT","1000HAB","A","2013",3.61,
"ISL","MEDICALDOC","TOT","1000HAB","A","2014",3.64,
"ISL","MEDICALDOC","TOT","1000HAB","A","2015",3.78,
"ISL","MEDICALDOC","TOT","1000HAB","A","2016",3.85,"B"
"ISL","MEDICALDOC","TOT","1000HAB","A","2017",3.93,
"IRL","MEDICALDOC","TOT","1000HAB","A","2013",2.67,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2014",2.79,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2015",2.86,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2016",2.94,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2017",3.07,"E"
"ITA","MEDICALDOC","TOT","1000HAB","A","2013",3.9,
"ITA","MEDICALDOC","TOT","1000HAB","A","2014",3.88,
"ITA","MEDICALDOC","TOT","1000HAB","A","2015",3.84,
"ITA","MEDICALDOC","TOT","1000HAB","A","2016",3.95,
"ITA","MEDICALDOC","TOT","1000HAB","A","2017",4.01,"P"
"JPN","MEDICALDOC","TOT","1000HAB","A","2014",2.36,
"JPN","MEDICALDOC","TOT","1000HAB","A","2016",2.43,
"KOR","MEDICALDOC","TOT","1000HAB","A","2013",2.16,
"KOR","MEDICALDOC","TOT","1000HAB","A","2014",2.2,
"KOR","MEDICALDOC","TOT","1000HAB","A","2015",2.24,
"KOR","MEDICALDOC","TOT","1000HAB","A","2016",2.29,
"KOR","MEDICALDOC","TOT","1000HAB","A","2017",2.34,"P"
"LUX","MEDICALDOC","TOT","1000HAB","A","2013",2.81,
"LUX","MEDICALDOC","TOT","1000HAB","A","2014",2.86,
"LUX","MEDICALDOC","TOT","1000HAB","A","2015",2.91,"B"
"LUX","MEDICALDOC","TOT","1000HAB","A","2016",2.88,
"LUX","MEDICALDOC","TOT","1000HAB","A","2017",2.96,
