"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALGRAD","TOT","100000HAB","A","2013",15.44,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2014",15.3,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2015",15.73,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2016",15.94,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2013",14.85,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2014",14.68,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2015",14.09,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2013",10.54,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2014",11.5,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2015",12.05,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2016",14.24,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2017",14.83,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2013",7.56,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2014",7.87,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2015",7.85,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2016",7.85,
"CAN","MEDICALGRAD","TOT","100000HAB","A","2017",7.94,"P"
"CZE","MEDICALGRAD","TOT","100000HAB","A","2013",12.73,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2014",13.99,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2015",13.56,
"CZE","MEDICALGRAD","TOT","100000HAB","A","2016",12.66,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2013",18.38,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2014",19.51,
"DNK","MEDICALGRAD","TOT","100000HAB","A","2015",22.06,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2013",11.47,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2014",11.65,"B"
"FIN","MEDICALGRAD","TOT","100000HAB","A","2015",11.41,
"FIN","MEDICALGRAD","TOT","100000HAB","A","2016",12.03,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2013",7.66,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2014",8.12,
"FRA","MEDICALGRAD","TOT","100000HAB","A","2015",9.05,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2013",12.15,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2014",11.85,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2015",11.28,
"DEU","MEDICALGRAD","TOT","100000HAB","A","2016",11.71,
"GRC","MEDICALGRAD","TOT","100000HAB","A","2013",9.32,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2013",14.2,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2014",13.65,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2015",13.4,
"HUN","MEDICALGRAD","TOT","100000HAB","A","2016",14.14,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2013",12.35,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2014",16.19,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2015",12.7,
"ISL","MEDICALGRAD","TOT","100000HAB","A","2016",15.8,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2013",20.13,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2014",21.66,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2015",23.54,
"IRL","MEDICALGRAD","TOT","100000HAB","A","2016",24.44,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2013",11.13,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2014",11.48,
"ITA","MEDICALGRAD","TOT","100000HAB","A","2015",12.35,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2013",6,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2014",6.01,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2015",6.39,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2016",6.72,
"JPN","MEDICALGRAD","TOT","100000HAB","A","2017",6.84,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2013",7.95,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2014",8.1,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2015",7.85,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2016",7.86,
"KOR","MEDICALGRAD","TOT","100000HAB","A","2017",7.65,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2013",10.22,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2014",10.82,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2015",11.07,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2016",12.62,
"NLD","MEDICALGRAD","TOT","100000HAB","A","2013",14.38,
"NLD","MEDICALGRAD","TOT","100000HAB","A","2014",14.5,
"NLD","MEDICALGRAD","TOT","100000HAB","A","2015",14.61,
"NLD","MEDICALGRAD","TOT","100000HAB","A","2016",14.36,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2013",8.53,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2014",8.69,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2015",8.68,
