"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSEGRAD","TOT","100000HAB","A","2013",74.76,
"AUS","NURSEGRAD","TOT","100000HAB","A","2014",75.75,
"AUS","NURSEGRAD","TOT","100000HAB","A","2015",76.69,
"AUS","NURSEGRAD","TOT","100000HAB","A","2016",81.93,
"AUT","NURSEGRAD","TOT","100000HAB","A","2013",58.02,
"AUT","NURSEGRAD","TOT","100000HAB","A","2014",54.15,
"AUT","NURSEGRAD","TOT","100000HAB","A","2015",54.98,
"BEL","NURSEGRAD","TOT","100000HAB","A","2013",47.54,
"BEL","NURSEGRAD","TOT","100000HAB","A","2014",47.42,
"BEL","NURSEGRAD","TOT","100000HAB","A","2015",49.68,
"BEL","NURSEGRAD","TOT","100000HAB","A","2016",55.03,
"BEL","NURSEGRAD","TOT","100000HAB","A","2017",57.02,
"CAN","NURSEGRAD","TOT","100000HAB","A","2013",56.68,
"CAN","NURSEGRAD","TOT","100000HAB","A","2015",58.51,
"CZE","NURSEGRAD","TOT","100000HAB","A","2013",14.88,
"CZE","NURSEGRAD","TOT","100000HAB","A","2014",15.16,
"CZE","NURSEGRAD","TOT","100000HAB","A","2015",15.79,
"CZE","NURSEGRAD","TOT","100000HAB","A","2016",15.84,
"DNK","NURSEGRAD","TOT","100000HAB","A","2013",101.3,
"DNK","NURSEGRAD","TOT","100000HAB","A","2014",105.45,
"DNK","NURSEGRAD","TOT","100000HAB","A","2015",104,
"FIN","NURSEGRAD","TOT","100000HAB","A","2013",68.89,
"FIN","NURSEGRAD","TOT","100000HAB","A","2014",64.84,"B"
"FIN","NURSEGRAD","TOT","100000HAB","A","2015",67.65,
"FIN","NURSEGRAD","TOT","100000HAB","A","2016",69.46,
"FRA","NURSEGRAD","TOT","100000HAB","A","2013",38.95,
"FRA","NURSEGRAD","TOT","100000HAB","A","2014",38.65,
"FRA","NURSEGRAD","TOT","100000HAB","A","2015",38.87,
"DEU","NURSEGRAD","TOT","100000HAB","A","2013",54.95,
"DEU","NURSEGRAD","TOT","100000HAB","A","2014",53.49,
"DEU","NURSEGRAD","TOT","100000HAB","A","2015",54.03,
"DEU","NURSEGRAD","TOT","100000HAB","A","2016",55.78,
